Age,primary_location,Gender,Saavnify_usage_period,Saavnify_listening_device,Saavnify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
20-35,Jaipur,Female,More than 2 years,Smart Speakers or Voice Assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sad/Melancholic,Leisure,Playlists,3,Daily,Comedy,Interview,Both,Both,Ok
12-20,Bengaluru,Male,More than 2 years,PC or Laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Social/Party,Workout,Playlists,2,Several times a week,Comedy,Interview,Both,None,Satisfied
35-60,Bengaluru,Others,6 months to 1 year,Smart Speakers or Voice Assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Pop,Night,Relaxation/Stress Relief,Study,Playlists,4,Once a week,Sports,Interview,None,Both,Satisfied
20-35,Mumbai,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,4,Never,None,None,None,None,Ok
20-35,Chandigarh,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok
20-35,Mumbai,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting/Motivational,Workout,Others,3,Never,None,None,None,None,Ok
20-35,Jaipur,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Office,Recommendations,3,Never,None,None,None,None,Ok
20-35,Chandigarh,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Social/Party,Leisure,Recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
20-35,Hyderabad,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation/Stress Relief,Travel,Playlists,4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
20-35,Delhi,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,4,Never,None,None,None,None,Ok
20-35,Hyderabad,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Travel,Playlists,3,Several times a week,Lifestyle and Health,Story telling,Both,Both,Satisfied
20-35,Chennai,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Several times a week,Comedy,Interview,Both,Shorter,Ok
20-35,Chandigarh,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Office,Playlists,3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Chandigarh,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,1,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Ahmedabad,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Pop,Morning,Relaxation/Stress Relief,Office,Recommendations,5,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied
20-35,Delhi,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Afternoon,Relaxation/Stress Relief,Office,Others,2,Never,None,None,None,None,Very Dissatisfied
20-35,Chennai,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation/Stress Relief,Travel,Playlists,1,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied
20-35,Delhi,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Social/Party,Social Gatherings,Recommendations,4,Never,None,None,None,None,Ok
20-35,Delhi,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Recommendations,3,Never,None,None,None,None,Ok
20-35,Kolkata,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sad/Melancholic,Travel,Recommendations,4,Never,None,None,None,Shorter,Ok
20-35,Chandigarh,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
20-35,Jaipur,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Classical,Morning,Relaxation/Stress Relief,Office,Recommendations,5,Never,None,None,None,None,Ok
20-35,Bengaluru,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied
20-35,Chandigarh,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Classical,Night,Relaxation/Stress Relief,Travel,Recommendations,1,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied
20-35,Ahmedabad,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Rock,Night,Relaxation/Stress Relief,Study,Recommendations,3,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
20-35,Ahmedabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Travel,Others,4,Never,None,None,None,None,Ok
12-20,Ahmedabad,Male,6 months to 1 year,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation/Stress Relief,Office,Recommendations,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied
35-60,Ahmedabad,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Old songs,Night,Relaxation/Stress Relief,Leisure,Recommendations,1,Never,None,None,None,None,Very Dissatisfied
20-35,Hyderabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Office,Recommendations,4,Never,None,None,None,None,Ok
20-35,Mumbai,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Night,Relaxation/Stress Relief,Study,Recommendations,3,Daily,Comedy,Conversational,Both,Longer,Satisfied
20-35,Pune,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Playlists,4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied
20-35,Hyderabad,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Office,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied
12-20,Mumbai,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting/Motivational,Workout,Recommendations,3,Never,None,None,None,None,Ok
12-20,Jaipur,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,Comedy,Conversational,Both,Both,Ok
20-35,Chennai,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
12-20,Chandigarh,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Rap,Night,Uplifting/Motivational,Workout,Others,1,Never,None,None,None,None,Ok
20-35,Kolkata,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning,Uplifting/Motivational,Office,Recommendations,3,Several times a week,Business,Story telling,Both,Shorter,Ok
20-35,Bengaluru,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
12-20,Hyderabad,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
12-20,Bengaluru,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Study,Playlists,3,Rarely,None,Interview,Both,Shorter,Ok
12-20,Chandigarh,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Comedy,None,Both,Shorter,Ok
12-20,Bengaluru,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Travel,Playlists,3,Rarely,None,Conversational,Both,Both,Ok
12-20,Chennai,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting/Motivational,Study,Recommendations,4,Once a week,Comedy,Conversational,Both,Longer,Very Satisfied
12-20,Chennai,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Classical,Afternoon,Relaxation/Stress Relief,Travel,Recommendations,5,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied
20-35,Chandigarh,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,5,Once a week,Comedy,Story telling,None,Both,Satisfied
20-35,Mumbai,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,5,Never,None,None,None,None,Ok
12-20,Chandigarh,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Classical,Afternoon,Sad/Melancholic,Travel,Others,3,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok
35-60,Delhi,Male,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sad/Melancholic,Travel,Recommendations,4,Once a week,Food and Cooking,Interview,Both,Shorter,Satisfied
20-35,Ahmedabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,3,Once a week,Comedy,None,Well known individuals,Shorter,Ok
20-35,Jaipur,Male,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
20-35,Pune,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,3,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied
12-20,Mumbai,Female,1 year to 2 years,Smart Speakers or Voice Assistants,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Leisure,Others,4,Once a week,Comedy,Story telling,Both,Shorter,Ok
20-35,Chandigarh,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,Relaxation/Stress Relief,Office,Others,4,Never,None,None,None,None,Ok
20-35,Pune,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Very Satisfied
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Office,Recommendations,3,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
12-20,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,All,Morning,Relaxation/Stress Relief,Workout,Playlists,5,Never,None,None,None,None,Ok
20-35,Chandigarh,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Classical,Afternoon,Relaxation/Stress Relief,Travel,Playlists,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok
20-35,Hyderabad,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Once a week,Comedy,Story telling,None,None,Satisfied
20-35,Jaipur,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning,Relaxation/Stress Relief,Travel,Recommendations,4,Daily,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Delhi,Male,More than 2 years,PC or Laptop,Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Never,None,None,None,None,Satisfied
20-35,Kolkata,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Classical,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Sports,Conversational,Well known individuals,Both,Satisfied
20-35,Hyderabad,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting/Motivational,Leisure,Others,3,Never,None,None,None,None,Ok
20-35,Bengaluru,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Travel,Others,3,Rarely,Sports,Story telling,Both,Shorter,Ok
20-35,Chennai,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,3,Rarely,Lifestyle and Health,Interview,Both,Shorter,Satisfied
12-20,Pune,Male,Less than 6 months,PC or Laptop,Free (ad-supported),No,None,Music,Rap,Afternoon,Relaxation/Stress Relief,Travel,Recommendations,3,Never,None,None,None,None,Ok
20-35,Jaipur,Male,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Recommendations,3,Never,None,None,None,None,Ok
20-35,Chandigarh,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied
20-35,Delhi,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Delhi,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Never,Food and Cooking,Story telling,Both,Shorter,Ok
20-35,Bengaluru,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation/Stress Relief,Leisure,Recommendations,5,Never,None,None,None,None,Ok
20-35,Chandigarh,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Playlists,5,Once a week,Lifestyle and Health,Interview,Both,Both,Satisfied
20-35,Kolkata,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Afternoon,Uplifting/Motivational,Travel,Playlists,3,Never,None,None,None,None,Ok
20-35,Mumbai,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Recommendations,5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
20-35,Mumbai,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Social/Party,Office,Others,2,Rarely,Comedy,Conversational,Both,Both,Ok
12-20,Mumbai,Female,6 months to 1 year,PC or Laptop,Premium (paid subscription),No,None,Podcast,Melody,Afternoon,Uplifting/Motivational,Travel,Radio,2,Daily,Health and Fitness,Interview,Well known individuals,Longer,Ok
20-35,Pune,Others,1 year to 2 years,Smart Speakers or Voice Assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,Uplifting/Motivational,Travel,Others,4,Once a week,Food and Cooking,Story telling,Both,Longer,Satisfied
20-35,Jaipur,Female,More than 2 years,Wearable Devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,Sad/Melancholic,Study,Recommendations,2,Daily,Lifestyle and Health,Conversational,unknown Podcasters,Both,Very Satisfied
